Run,Assay Type,AssemblyName,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,Ecotype,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sex,SRA Study,Tissue
SRR7221758,WGS,assembly,232,262658391,PRJNA437462,SAMN09267712,Model organism or animal,315234105,UNIVERSITY OF CALIFORNIA DAVIS,public,"bam,fasta,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",Sexually mature adult,BB-2,SRX4128558,Illumina HiSeq 2500,BB-2,SINGLE,RANDOM,GENOMIC,Fundulus grandis,ILLUMINA,2019-01-01T00:00:00Z,BU000383_BB.bam,male,SRP149029,fin clip
SRR7221759,WGS,assembly,230,255181814,PRJNA437462,SAMN09267638,Model organism or animal,314548623,UNIVERSITY OF CALIFORNIA DAVIS,public,"bam,fasta,sra","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",Sexually mature adult,PB-46,SRX4128557,Illumina HiSeq 2500,PB-46,SINGLE,RANDOM,GENOMIC,Fundulus grandis,ILLUMINA,2019-01-01T00:00:00Z,BU000237_PB.bam,female,SRP149029,fin clip
SRR7221760,WGS,assembly,231,116930942,PRJNA437462,SAMN09267639,Model organism or animal,276161840,UNIVERSITY OF CALIFORNIA DAVIS,public,"sra,fasta,bam","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",Sexually mature adult,PB-47,SRX4128556,Illumina HiSeq 2500,PB-47,SINGLE,RANDOM,GENOMIC,Fundulus grandis,ILLUMINA,2019-01-01T00:00:00Z,BU000242_PB.bam,female,SRP149029,fin clip
SRR7221761,WGS,assembly,233,376570320,PRJNA437462,SAMN09267636,Model organism or animal,340780931,UNIVERSITY OF CALIFORNIA DAVIS,public,"sra,bam,fasta","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",Sexually mature adult,PB-44,SRX4128555,Illumina HiSeq 2500,PB-44,SINGLE,RANDOM,GENOMIC,Fundulus grandis,ILLUMINA,2019-01-01T00:00:00Z,BU000234_PB.bam,female,SRP149029,fin clip
SRR7221762,WGS,assembly,231,338628193,PRJNA437462,SAMN09267637,Model organism or animal,335694215,UNIVERSITY OF CALIFORNIA DAVIS,public,"fasta,bam,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",Sexually mature adult,PB-45,SRX4128554,Illumina HiSeq 2500,PB-45,SINGLE,RANDOM,GENOMIC,Fundulus grandis,ILLUMINA,2019-01-01T00:00:00Z,BU000235_PB.bam,female,SRP149029,fin clip
SRR7221763,WGS,assembly,233,375035370,PRJNA437462,SAMN09267634,Model organism or animal,339634677,UNIVERSITY OF CALIFORNIA DAVIS,public,"bam,fasta,sra","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",Sexually mature adult,PB-42,SRX4128553,Illumina HiSeq 2500,PB-42,SINGLE,RANDOM,GENOMIC,Fundulus grandis,ILLUMINA,2019-01-01T00:00:00Z,BU000231_PB.bam,female,SRP149029,fin clip
SRR7221764,WGS,assembly,230,464846503,PRJNA437462,SAMN09267635,Model organism or animal,371859767,UNIVERSITY OF CALIFORNIA DAVIS,public,"bam,fasta,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",Sexually mature adult,PB-43,SRX4128552,Illumina HiSeq 2500,PB-43,SINGLE,RANDOM,GENOMIC,Fundulus grandis,ILLUMINA,2019-01-01T00:00:00Z,BU000233_PB.bam,female,SRP149029,fin clip
SRR7221765,WGS,assembly,233,393854669,PRJNA437462,SAMN09267632,Model organism or animal,343889829,UNIVERSITY OF CALIFORNIA DAVIS,public,"bam,fasta,sra","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",Sexually mature adult,PB-40,SRX4128551,Illumina HiSeq 2500,PB-40,SINGLE,RANDOM,GENOMIC,Fundulus grandis,ILLUMINA,2019-01-01T00:00:00Z,BU000229_PB.bam,female,SRP149029,fin clip
SRR7221766,WGS,assembly,230,582695809,PRJNA437462,SAMN09267633,Model organism or animal,407756344,UNIVERSITY OF CALIFORNIA DAVIS,public,"bam,sra,fasta","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",Sexually mature adult,PB-41,SRX4128550,Illumina HiSeq 2500,PB-41,SINGLE,RANDOM,GENOMIC,Fundulus grandis,ILLUMINA,2019-01-01T00:00:00Z,BU000230_PB.bam,female,SRP149029,fin clip
SRR7221767,WGS,assembly,231,474376452,PRJNA437462,SAMN09267571,Model organism or animal,373045439,UNIVERSITY OF CALIFORNIA DAVIS,public,"sra,fasta,bam","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",Sexually mature adult,VB-28,SRX4128549,Illumina HiSeq 2500,VB-28,SINGLE,RANDOM,GENOMIC,Fundulus grandis,ILLUMINA,2019-01-01T00:00:00Z,BU000155_VB.bam,female,SRP149029,fin clip
SRR7221768,WGS,assembly,232,268786926,PRJNA437462,SAMN09267570,Model organism or animal,313556433,UNIVERSITY OF CALIFORNIA DAVIS,public,"fasta,sra,bam","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",Sexually mature adult,VB-27,SRX4128548,Illumina HiSeq 2500,VB-27,SINGLE,RANDOM,GENOMIC,Fundulus grandis,ILLUMINA,2019-01-01T00:00:00Z,BU000153_VB.bam,female,SRP149029,fin clip
SRR7221769,WGS,assembly,232,818107085,PRJNA437462,SAMN09267693,Model organism or animal,460762077,UNIVERSITY OF CALIFORNIA DAVIS,public,"sra,bam,fasta","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",Sexually mature adult,BNP-30,SRX4128547,Illumina HiSeq 2500,BNP-30,SINGLE,RANDOM,GENOMIC,Fundulus grandis,ILLUMINA,2019-01-01T00:00:00Z,BU000348_BNP.bam,female,SRP149029,fin clip
SRR7221770,WGS,assembly,231,926116624,PRJNA437462,SAMN09267640,Model organism or animal,505399962,UNIVERSITY OF CALIFORNIA DAVIS,public,"sra,fasta,bam","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",Sexually mature adult,SP-25,SRX4128546,Illumina HiSeq 2500,SP-25,SINGLE,RANDOM,GENOMIC,Fundulus grandis,ILLUMINA,2019-01-01T00:00:00Z,BU000244_SP.bam,female,SRP149029,fin clip
SRR7221771,WGS,assembly,230,508835096,PRJNA437462,SAMN09267641,Model organism or animal,390555041,UNIVERSITY OF CALIFORNIA DAVIS,public,"sra,bam,fasta","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",Sexually mature adult,SP-26,SRX4128545,Illumina HiSeq 2500,SP-26,SINGLE,RANDOM,GENOMIC,Fundulus grandis,ILLUMINA,2019-01-01T00:00:00Z,BU000245_SP.bam,female,SRP149029,fin clip
SRR7221772,WGS,assembly,232,341993375,PRJNA437462,SAMN09267692,Model organism or animal,335931812,UNIVERSITY OF CALIFORNIA DAVIS,public,"sra,bam,fasta","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",Sexually mature adult,BNP-29,SRX4128544,Illumina HiSeq 2500,BNP-29,SINGLE,RANDOM,GENOMIC,Fundulus grandis,ILLUMINA,2019-01-01T00:00:00Z,BU000347_BNP.bam,female,SRP149029,fin clip
SRR7221773,WGS,assembly,230,579761326,PRJNA437462,SAMN09267475,Model organism or animal,402623115,UNIVERSITY OF CALIFORNIA DAVIS,public,"sra,bam,fasta","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",Sexually mature adult,VB-4,SRX4128543,Illumina HiSeq 2500,VB-4,SINGLE,RANDOM,GENOMIC,Fundulus grandis,ILLUMINA,2019-01-01T00:00:00Z,BU000007_VB.bam,male,SRP149029,fin clip
SRR7221774,WGS,assembly,232,466420331,PRJNA437462,SAMN09267551,Model organism or animal,369509027,UNIVERSITY OF CALIFORNIA DAVIS,public,"bam,fasta,sra","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",Sexually mature adult,VB-8,SRX4128542,Illumina HiSeq 2500,VB-8,SINGLE,RANDOM,GENOMIC,Fundulus grandis,ILLUMINA,2019-01-01T00:00:00Z,BU000131_VB.bam,male,SRP149029,fin clip
SRR7221775,WGS,assembly,232,356516746,PRJNA437462,SAMN09267550,Model organism or animal,336845926,UNIVERSITY OF CALIFORNIA DAVIS,public,"sra,fasta,bam","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",Sexually mature adult,VB-7,SRX4128541,Illumina HiSeq 2500,VB-7,SINGLE,RANDOM,GENOMIC,Fundulus grandis,ILLUMINA,2019-01-01T00:00:00Z,BU000130_VB.bam,male,SRP149029,fin clip
SRR7221776,WGS,assembly,233,569860019,PRJNA437462,SAMN09267549,Model organism or animal,388917504,UNIVERSITY OF CALIFORNIA DAVIS,public,"bam,sra,fasta","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",Sexually mature adult,VB-6,SRX4128540,Illumina HiSeq 2500,VB-6,SINGLE,RANDOM,GENOMIC,Fundulus grandis,ILLUMINA,2019-01-01T00:00:00Z,BU000129_VB.bam,male,SRP149029,fin clip
SRR7221777,WGS,assembly,231,959397693,PRJNA437462,SAMN09267548,Model organism or animal,511984118,UNIVERSITY OF CALIFORNIA DAVIS,public,"bam,fasta,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",Sexually mature adult,GB-48,SRX4128539,Illumina HiSeq 2500,GB-48,SINGLE,RANDOM,GENOMIC,Fundulus grandis,ILLUMINA,2019-01-01T00:00:00Z,BU000127_GB.bam,female,SRP149029,fin clip
SRR7221778,WGS,assembly,232,992971010,PRJNA437462,SAMN09267547,Model organism or animal,515491484,UNIVERSITY OF CALIFORNIA DAVIS,public,"bam,sra,fasta","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",Sexually mature adult,GB-47,SRX4128538,Illumina HiSeq 2500,GB-47,SINGLE,RANDOM,GENOMIC,Fundulus grandis,ILLUMINA,2019-01-01T00:00:00Z,BU000126_GB.bam,female,SRP149029,fin clip
SRR7221779,WGS,assembly,232,567135242,PRJNA437462,SAMN09267546,Model organism or animal,400998996,UNIVERSITY OF CALIFORNIA DAVIS,public,"fasta,sra,bam","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",Sexually mature adult,GB-46,SRX4128537,Illumina HiSeq 2500,GB-46,SINGLE,RANDOM,GENOMIC,Fundulus grandis,ILLUMINA,2019-01-01T00:00:00Z,BU000125_GB.bam,female,SRP149029,fin clip
SRR7221780,WGS,assembly,231,524991539,PRJNA437462,SAMN09267545,Model organism or animal,390752251,UNIVERSITY OF CALIFORNIA DAVIS,public,"bam,sra,fasta","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",Sexually mature adult,GB-45,SRX4128536,Illumina HiSeq 2500,GB-45,SINGLE,RANDOM,GENOMIC,Fundulus grandis,ILLUMINA,2019-01-01T00:00:00Z,BU000124_GB.bam,male,SRP149029,fin clip
SRR7221781,WGS,assembly,230,647301753,PRJNA437462,SAMN09267544,Model organism or animal,431399923,UNIVERSITY OF CALIFORNIA DAVIS,public,"fasta,bam,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",Sexually mature adult,GB-44,SRX4128535,Illumina HiSeq 2500,GB-44,SINGLE,RANDOM,GENOMIC,Fundulus grandis,ILLUMINA,2019-01-01T00:00:00Z,BU000123_GB.bam,male,SRP149029,fin clip
SRR7221782,WGS,assembly,230,444916389,PRJNA437462,SAMN09267543,Model organism or animal,371828829,UNIVERSITY OF CALIFORNIA DAVIS,public,"fasta,bam,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",Sexually mature adult,GB-43,SRX4128534,Illumina HiSeq 2500,GB-43,SINGLE,RANDOM,GENOMIC,Fundulus grandis,ILLUMINA,2019-01-01T00:00:00Z,BU000121_GB.bam,female,SRP149029,fin clip
SRR7221783,WGS,assembly,231,591561122,PRJNA437462,SAMN09267542,Model organism or animal,406816817,UNIVERSITY OF CALIFORNIA DAVIS,public,"fasta,bam,sra","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",Sexually mature adult,GB-42,SRX4128533,Illumina HiSeq 2500,GB-42,SINGLE,RANDOM,GENOMIC,Fundulus grandis,ILLUMINA,2019-01-01T00:00:00Z,BU000120_GB.bam,female,SRP149029,fin clip
SRR7221784,WGS,assembly,232,291991445,PRJNA437462,SAMN09267750,Model organism or animal,322316921,UNIVERSITY OF CALIFORNIA DAVIS,public,"fasta,bam,sra","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",Sexually mature adult,SJ-15,SRX4128532,Illumina HiSeq 2500,SJ-15,SINGLE,RANDOM,GENOMIC,Fundulus grandis,ILLUMINA,2019-01-01T00:00:00Z,BU000443_SJ.bam,female,SRP149029,fin clip
SRR7221785,WGS,assembly,232,217699895,PRJNA437462,SAMN09267751,Model organism or animal,302619153,UNIVERSITY OF CALIFORNIA DAVIS,public,"fasta,bam,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",Sexually mature adult,SJ-16,SRX4128531,Illumina HiSeq 2500,SJ-16,SINGLE,RANDOM,GENOMIC,Fundulus grandis,ILLUMINA,2019-01-01T00:00:00Z,BU000444_SJ.bam,female,SRP149029,fin clip
SRR7221786,WGS,assembly,232,646673203,PRJNA437462,SAMN09267744,Model organism or animal,418870031,UNIVERSITY OF CALIFORNIA DAVIS,public,"fasta,bam,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",Sexually mature adult,SJ-9,SRX4128530,Illumina HiSeq 2500,SJ-9,SINGLE,RANDOM,GENOMIC,Fundulus grandis,ILLUMINA,2019-01-01T00:00:00Z,BU000431_SJ.bam,male,SRP149029,fin clip
SRR7221787,WGS,assembly,231,139627636,PRJNA437462,SAMN09267745,Model organism or animal,282805532,UNIVERSITY OF CALIFORNIA DAVIS,public,"bam,sra,fasta","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",Sexually mature adult,SJ-10,SRX4128529,Illumina HiSeq 2500,SJ-10,SINGLE,RANDOM,GENOMIC,Fundulus grandis,ILLUMINA,2019-01-01T00:00:00Z,BU000432_SJ.bam,male,SRP149029,fin clip
SRR7221788,WGS,assembly,231,353960461,PRJNA437462,SAMN09267742,Model organism or animal,344147673,UNIVERSITY OF CALIFORNIA DAVIS,public,"bam,sra,fasta","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",Sexually mature adult,SJ-7,SRX4128528,Illumina HiSeq 2500,SJ-7,SINGLE,RANDOM,GENOMIC,Fundulus grandis,ILLUMINA,2019-01-01T00:00:00Z,BU000426_SJ.bam,male,SRP149029,fin clip
SRR7221789,WGS,assembly,232,786011343,PRJNA437462,SAMN09267743,Model organism or animal,446073667,UNIVERSITY OF CALIFORNIA DAVIS,public,"fasta,sra,bam","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",Sexually mature adult,SJ-8,SRX4128527,Illumina HiSeq 2500,SJ-8,SINGLE,RANDOM,GENOMIC,Fundulus grandis,ILLUMINA,2019-01-01T00:00:00Z,BU000427_SJ.bam,male,SRP149029,fin clip
SRR7221790,WGS,assembly,231,650962332,PRJNA437462,SAMN09267701,Model organism or animal,422487536,UNIVERSITY OF CALIFORNIA DAVIS,public,"sra,fasta,bam","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",Sexually mature adult,BNP-38,SRX4128526,Illumina HiSeq 2500,BNP-38,SINGLE,RANDOM,GENOMIC,Fundulus grandis,ILLUMINA,2019-01-01T00:00:00Z,BU000357_BNP.bam,female,SRP149029,fin clip
SRR7221791,WGS,assembly,233,167466901,PRJNA437462,SAMN09267749,Model organism or animal,287931144,UNIVERSITY OF CALIFORNIA DAVIS,public,"fasta,bam,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",Sexually mature adult,SJ-14,SRX4128525,Illumina HiSeq 2500,SJ-14,SINGLE,RANDOM,GENOMIC,Fundulus grandis,ILLUMINA,2019-01-01T00:00:00Z,BU000442_SJ.bam,female,SRP149029,fin clip
SRR7221792,WGS,assembly,231,639985875,PRJNA437462,SAMN09267746,Model organism or animal,421693221,UNIVERSITY OF CALIFORNIA DAVIS,public,"fasta,sra,bam","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",Sexually mature adult,SJ-11,SRX4128524,Illumina HiSeq 2500,SJ-11,SINGLE,RANDOM,GENOMIC,Fundulus grandis,ILLUMINA,2019-01-01T00:00:00Z,BU000433_SJ.bam,male,SRP149029,fin clip
SRR7221793,WGS,assembly,232,752160665,PRJNA437462,SAMN09267747,Model organism or animal,443584871,UNIVERSITY OF CALIFORNIA DAVIS,public,"sra,fasta,bam","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",Sexually mature adult,SJ-12,SRX4128523,Illumina HiSeq 2500,SJ-12,SINGLE,RANDOM,GENOMIC,Fundulus grandis,ILLUMINA,2019-01-01T00:00:00Z,BU000439_SJ.bam,male,SRP149029,fin clip
SRR7221794,WGS,assembly,231,716737644,PRJNA437462,SAMN09267647,Model organism or animal,442388662,UNIVERSITY OF CALIFORNIA DAVIS,public,"bam,sra,fasta","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",Sexually mature adult,SP-32,SRX4128522,Illumina HiSeq 2500,SP-32,SINGLE,RANDOM,GENOMIC,Fundulus grandis,ILLUMINA,2019-01-01T00:00:00Z,BU000253_SP.bam,female,SRP149029,fin clip
SRR7221795,WGS,assembly,231,793492559,PRJNA437462,SAMN09267646,Model organism or animal,466872047,UNIVERSITY OF CALIFORNIA DAVIS,public,"fasta,sra,bam","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",Sexually mature adult,SP-31,SRX4128521,Illumina HiSeq 2500,SP-31,SINGLE,RANDOM,GENOMIC,Fundulus grandis,ILLUMINA,2019-01-01T00:00:00Z,BU000252_SP.bam,female,SRP149029,fin clip
SRR7221796,WGS,assembly,232,475775748,PRJNA437462,SAMN09267649,Model organism or animal,373884528,UNIVERSITY OF CALIFORNIA DAVIS,public,"sra,fasta,bam","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",Sexually mature adult,SP-34,SRX4128520,Illumina HiSeq 2500,SP-34,SINGLE,RANDOM,GENOMIC,Fundulus grandis,ILLUMINA,2019-01-01T00:00:00Z,BU000255_SP.bam,female,SRP149029,fin clip
SRR7221797,WGS,assembly,231,835858325,PRJNA437462,SAMN09267648,Model organism or animal,478113684,UNIVERSITY OF CALIFORNIA DAVIS,public,"bam,fasta,sra","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",Sexually mature adult,SP-33,SRX4128519,Illumina HiSeq 2500,SP-33,SINGLE,RANDOM,GENOMIC,Fundulus grandis,ILLUMINA,2019-01-01T00:00:00Z,BU000254_SP.bam,female,SRP149029,fin clip
SRR7221798,WGS,assembly,231,477226200,PRJNA437462,SAMN09267643,Model organism or animal,377070774,UNIVERSITY OF CALIFORNIA DAVIS,public,"bam,fasta,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",Sexually mature adult,SP-28,SRX4128518,Illumina HiSeq 2500,SP-28,SINGLE,RANDOM,GENOMIC,Fundulus grandis,ILLUMINA,2019-01-01T00:00:00Z,BU000248_SP.bam,female,SRP149029,fin clip
SRR7221799,WGS,assembly,230,283504568,PRJNA437462,SAMN09267642,Model organism or animal,327081698,UNIVERSITY OF CALIFORNIA DAVIS,public,"bam,sra,fasta","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",Sexually mature adult,SP-27,SRX4128517,Illumina HiSeq 2500,SP-27,SINGLE,RANDOM,GENOMIC,Fundulus grandis,ILLUMINA,2019-01-01T00:00:00Z,BU000246_SP.bam,female,SRP149029,fin clip
SRR7221800,WGS,assembly,232,624746115,PRJNA437462,SAMN09267645,Model organism or animal,416702958,UNIVERSITY OF CALIFORNIA DAVIS,public,"fasta,sra,bam","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",Sexually mature adult,SP-30,SRX4128516,Illumina HiSeq 2500,SP-30,SINGLE,RANDOM,GENOMIC,Fundulus grandis,ILLUMINA,2019-01-01T00:00:00Z,BU000250_SP.bam,female,SRP149029,fin clip
SRR7221801,WGS,assembly,230,800358843,PRJNA437462,SAMN09267644,Model organism or animal,478096086,UNIVERSITY OF CALIFORNIA DAVIS,public,"sra,bam,fasta","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",Sexually mature adult,SP-29,SRX4128515,Illumina HiSeq 2500,SP-29,SINGLE,RANDOM,GENOMIC,Fundulus grandis,ILLUMINA,2019-01-01T00:00:00Z,BU000249_SP.bam,female,SRP149029,fin clip
SRR7221802,WGS,assembly,230,624866595,PRJNA437462,SAMN09267474,Model organism or animal,420379919,UNIVERSITY OF CALIFORNIA DAVIS,public,"bam,sra,fasta","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",Sexually mature adult,VB-3,SRX4128514,Illumina HiSeq 2500,VB-3,SINGLE,RANDOM,GENOMIC,Fundulus grandis,ILLUMINA,2019-01-01T00:00:00Z,BU000006_VB.bam,male,SRP149029,fin clip
SRR7221803,WGS,assembly,233,411554983,PRJNA437462,SAMN09267561,Model organism or animal,349229038,UNIVERSITY OF CALIFORNIA DAVIS,public,"fasta,sra,bam","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",Sexually mature adult,VB-18,SRX4128513,Illumina HiSeq 2500,VB-18,SINGLE,RANDOM,GENOMIC,Fundulus grandis,ILLUMINA,2019-01-01T00:00:00Z,BU000141_VB.bam,female,SRP149029,fin clip
SRR7221804,WGS,assembly,232,913928342,PRJNA437462,SAMN09267651,Model organism or animal,491202491,UNIVERSITY OF CALIFORNIA DAVIS,public,"fasta,bam,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",Sexually mature adult,SP-36,SRX4128512,Illumina HiSeq 2500,SP-36,SINGLE,RANDOM,GENOMIC,Fundulus grandis,ILLUMINA,2019-01-01T00:00:00Z,BU000257_SP.bam,female,SRP149029,fin clip
SRR7221805,WGS,assembly,231,560621026,PRJNA437462,SAMN09267650,Model organism or animal,402163578,UNIVERSITY OF CALIFORNIA DAVIS,public,"sra,bam,fasta","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",Sexually mature adult,SP-35,SRX4128511,Illumina HiSeq 2500,SP-35,SINGLE,RANDOM,GENOMIC,Fundulus grandis,ILLUMINA,2019-01-01T00:00:00Z,BU000256_SP.bam,female,SRP149029,fin clip
