Run,AGE,Assay Type,AssemblyName,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Breed,Bytes,Center Name,Collection_date,Consent,Cultivar,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,Ecotype,Experiment,Instrument,Isolate,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sex,SRA Study,Strain,Tissue
SRR4781378,Not applicable,WGS,assembly,202,1161171346,PRJNA323589,SAMN05930426,Model organism or animal,Not applicable,576273829,"UNIVERSITY OF CALIFORNIA, DAVIS",17-Dec-2008,public,Not applicable,"fasta,sra,bam","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",adult,Bridgeport,SRX2313575,Illumina HiSeq 2500,BP-30,41.1570 N 73.2189 W,BP-30,PAIRED,RANDOM,GENOMIC,Fundulus heteroclitus,ILLUMINA,2018-05-20T00:00:00Z,BP-30,female,SRP092392,Not applicable,caudal fin
SRR4781382,Not applicable,WGS,assembly,202,1250524834,PRJNA323589,SAMN05930425,Model organism or animal,Not applicable,617184438,"UNIVERSITY OF CALIFORNIA, DAVIS",17-Dec-2008,public,Not applicable,"sra,bam,fasta","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",adult,Bridgeport,SRX2313576,Illumina HiSeq 2500,BP-2,41.1570 N 73.2189 W,BP-2,PAIRED,RANDOM,GENOMIC,Fundulus heteroclitus,ILLUMINA,2018-05-20T00:00:00Z,BP-2,female,SRP092392,Not applicable,caudal fin
SRR4781386,Not applicable,WGS,assembly,202,793035032,PRJNA323589,SAMN05930422,Model organism or animal,Not applicable,476633877,"UNIVERSITY OF CALIFORNIA, DAVIS",17-Dec-2008,public,Not applicable,"sra,bam,fasta","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",adult,Bridgeport,SRX2313577,Illumina HiSeq 2500,BP-27,41.1570 N 73.2189 W,BP-27,PAIRED,RANDOM,GENOMIC,Fundulus heteroclitus,ILLUMINA,2018-05-20T00:00:00Z,BP-27,male,SRP092392,Not applicable,caudal fin
SRR4781390,Not applicable,WGS,assembly,202,213200496,PRJNA323589,SAMN05930421,Model organism or animal,Not applicable,308873877,"UNIVERSITY OF CALIFORNIA, DAVIS",17-Dec-2008,public,Not applicable,"fasta,sra,bam","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",adult,Bridgeport,SRX2313578,Illumina HiSeq 2500,BP-26,41.1570 N 73.2189 W,BP-26,PAIRED,RANDOM,GENOMIC,Fundulus heteroclitus,ILLUMINA,2018-05-20T00:00:00Z,BP-26,male,SRP092392,Not applicable,caudal fin
SRR4781394,Not applicable,WGS,assembly,202,1077347810,PRJNA323589,SAMN05930528,Model organism or animal,Not applicable,562521741,"UNIVERSITY OF CALIFORNIA, DAVIS",23-Nov-2008,public,Not applicable,"sra,fasta,bam","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",adult,Flax Pond,SRX2313579,Illumina HiSeq 2500,F-33,40.9637 N 73.1342 W,F-33,PAIRED,RANDOM,GENOMIC,Fundulus heteroclitus,ILLUMINA,2018-05-20T00:00:00Z,F-33,male,SRP092392,Not applicable,caudal fin
SRR4781397,Not applicable,WGS,assembly,202,522600058,PRJNA323589,SAMN05930529,Model organism or animal,Not applicable,400054266,"UNIVERSITY OF CALIFORNIA, DAVIS",23-Nov-2008,public,Not applicable,"sra,fasta,bam","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",adult,Flax Pond,SRX2313580,Illumina HiSeq 2500,F-34,40.9637 N 73.1342 W,F-34,PAIRED,RANDOM,GENOMIC,Fundulus heteroclitus,ILLUMINA,2018-05-20T00:00:00Z,F-34,male,SRP092392,Not applicable,caudal fin
SRR4781400,Not applicable,WGS,assembly,202,1194244604,PRJNA323589,SAMN05930526,Model organism or animal,Not applicable,601727705,"UNIVERSITY OF CALIFORNIA, DAVIS",23-Nov-2008,public,Not applicable,"sra,bam,fasta","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",adult,Flax Pond,SRX2313581,Illumina HiSeq 2500,F-31,40.9637 N 73.1342 W,F-31,PAIRED,RANDOM,GENOMIC,Fundulus heteroclitus,ILLUMINA,2018-05-20T00:00:00Z,F-31,female,SRP092392,Not applicable,caudal fin
SRR4781403,Not applicable,WGS,assembly,202,1383097434,PRJNA323589,SAMN05930527,Model organism or animal,Not applicable,649239618,"UNIVERSITY OF CALIFORNIA, DAVIS",23-Nov-2008,public,Not applicable,"sra,bam,fasta","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",adult,Flax Pond,SRX2313582,Illumina HiSeq 2500,F-32,40.9637 N 73.1342 W,F-32,PAIRED,RANDOM,GENOMIC,Fundulus heteroclitus,ILLUMINA,2018-05-20T00:00:00Z,F-32,female,SRP092392,Not applicable,caudal fin
SRR4781406,Not applicable,WGS,assembly,202,450227498,PRJNA323589,SAMN05930524,Model organism or animal,Not applicable,376356124,"UNIVERSITY OF CALIFORNIA, DAVIS",23-Nov-2008,public,Not applicable,"fasta,sra,bam","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",adult,Flax Pond,SRX2313583,Illumina HiSeq 2500,F-2,40.9637 N 73.1342 W,F-2,PAIRED,RANDOM,GENOMIC,Fundulus heteroclitus,ILLUMINA,2018-05-20T00:00:00Z,F-2,female,SRP092392,Not applicable,caudal fin
SRR4781410,Not applicable,WGS,assembly,202,891338736,PRJNA323589,SAMN05930525,Model organism or animal,Not applicable,504903062,"UNIVERSITY OF CALIFORNIA, DAVIS",23-Nov-2008,public,Not applicable,"sra,fasta,bam","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",adult,Flax Pond,SRX2313584,Illumina HiSeq 2500,F-30,40.9637 N 73.1342 W,F-30,PAIRED,RANDOM,GENOMIC,Fundulus heteroclitus,ILLUMINA,2018-05-20T00:00:00Z,F-30,male,SRP092392,Not applicable,caudal fin
SRR4781413,Not applicable,WGS,assembly,202,687353480,PRJNA323589,SAMN05930522,Model organism or animal,Not applicable,454792690,"UNIVERSITY OF CALIFORNIA, DAVIS",23-Nov-2008,public,Not applicable,"bam,fasta,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",adult,Flax Pond,SRX2313585,Illumina HiSeq 2500,F-28,40.9637 N 73.1342 W,F-28,PAIRED,RANDOM,GENOMIC,Fundulus heteroclitus,ILLUMINA,2018-05-20T00:00:00Z,F-28,female,SRP092392,Not applicable,caudal fin
SRR4781415,Not applicable,WGS,assembly,202,1277175906,PRJNA323589,SAMN05930523,Model organism or animal,Not applicable,625231726,"UNIVERSITY OF CALIFORNIA, DAVIS",23-Nov-2008,public,Not applicable,"bam,fasta,sra","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",adult,Flax Pond,SRX2313586,Illumina HiSeq 2500,F-29,40.9637 N 73.1342 W,F-29,PAIRED,RANDOM,GENOMIC,Fundulus heteroclitus,ILLUMINA,2018-05-20T00:00:00Z,F-29,male,SRP092392,Not applicable,caudal fin
SRR4781417,Not applicable,WGS,assembly,202,664502836,PRJNA323589,SAMN05930520,Model organism or animal,Not applicable,446832893,"UNIVERSITY OF CALIFORNIA, DAVIS",23-Nov-2008,public,Not applicable,"fasta,bam,sra","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",adult,Flax Pond,SRX2313587,Illumina HiSeq 2500,F-26,40.9637 N 73.1342 W,F-26,PAIRED,RANDOM,GENOMIC,Fundulus heteroclitus,ILLUMINA,2018-05-20T00:00:00Z,F-26,female,SRP092392,Not applicable,caudal fin
SRR4781419,Not applicable,WGS,assembly,202,850577560,PRJNA323589,SAMN05930521,Model organism or animal,Not applicable,499121639,"UNIVERSITY OF CALIFORNIA, DAVIS",23-Nov-2008,public,Not applicable,"bam,sra,fasta","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",adult,Flax Pond,SRX2313588,Illumina HiSeq 2500,F-27,40.9637 N 73.1342 W,F-27,PAIRED,RANDOM,GENOMIC,Fundulus heteroclitus,ILLUMINA,2018-05-20T00:00:00Z,F-27,male,SRP092392,Not applicable,caudal fin
SRR4781420,Not applicable,WGS,assembly,202,982600922,PRJNA323589,SAMN05930511,Model organism or animal,Not applicable,541098111,"UNIVERSITY OF CALIFORNIA, DAVIS",23-Nov-2008,public,Not applicable,"sra,bam,fasta","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,Flax Pond,SRX2313589,Illumina HiSeq 2500,F-18,40.9637 N 73.1342 W,F-18,PAIRED,RANDOM,GENOMIC,Fundulus heteroclitus,ILLUMINA,2018-05-20T00:00:00Z,F-18,male,SRP092392,Not applicable,caudal fin
SRR4781426,Not applicable,WGS,assembly,202,1071817454,PRJNA323589,SAMN05930510,Model organism or animal,Not applicable,565578409,"UNIVERSITY OF CALIFORNIA, DAVIS",23-Nov-2008,public,Not applicable,"bam,sra,fasta","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",adult,Flax Pond,SRX2313590,Illumina HiSeq 2500,F-17,40.9637 N 73.1342 W,F-17,PAIRED,RANDOM,GENOMIC,Fundulus heteroclitus,ILLUMINA,2018-05-20T00:00:00Z,F-17,female,SRP092392,Not applicable,caudal fin
SRR4781431,Not applicable,WGS,assembly,202,1169597372,PRJNA323589,SAMN05930515,Model organism or animal,Not applicable,590849135,"UNIVERSITY OF CALIFORNIA, DAVIS",23-Nov-2008,public,Not applicable,"sra,bam,fasta","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",adult,Flax Pond,SRX2313591,Illumina HiSeq 2500,F-21,40.9637 N 73.1342 W,F-21,PAIRED,RANDOM,GENOMIC,Fundulus heteroclitus,ILLUMINA,2018-05-20T00:00:00Z,F-21,male,SRP092392,Not applicable,caudal fin
SRR4781433,Not applicable,WGS,assembly,202,825345740,PRJNA323589,SAMN05930514,Model organism or animal,Not applicable,496590317,"UNIVERSITY OF CALIFORNIA, DAVIS",23-Nov-2008,public,Not applicable,"fasta,sra,bam","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",adult,Flax Pond,SRX2313592,Illumina HiSeq 2500,F-20,40.9637 N 73.1342 W,F-20,PAIRED,RANDOM,GENOMIC,Fundulus heteroclitus,ILLUMINA,2018-05-20T00:00:00Z,F-20,female,SRP092392,Not applicable,caudal fin
SRR4781436,Not applicable,WGS,assembly,202,1287464372,PRJNA323589,SAMN05930513,Model organism or animal,Not applicable,635657158,"UNIVERSITY OF CALIFORNIA, DAVIS",23-Nov-2008,public,Not applicable,"fasta,bam,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",adult,Flax Pond,SRX2313593,Illumina HiSeq 2500,F-1,40.9637 N 73.1342 W,F-1,PAIRED,RANDOM,GENOMIC,Fundulus heteroclitus,ILLUMINA,2018-05-20T00:00:00Z,F-1,female,SRP092392,Not applicable,caudal fin
SRR4781439,Not applicable,WGS,assembly,202,1525468852,PRJNA323589,SAMN05930512,Model organism or animal,Not applicable,693038967,"UNIVERSITY OF CALIFORNIA, DAVIS",23-Nov-2008,public,Not applicable,"bam,sra,fasta","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",adult,Flax Pond,SRX2313594,Illumina HiSeq 2500,F-19,40.9637 N 73.1342 W,F-19,PAIRED,RANDOM,GENOMIC,Fundulus heteroclitus,ILLUMINA,2018-05-20T00:00:00Z,F-19,female,SRP092392,Not applicable,caudal fin
SRR4781443,Not applicable,WGS,assembly,202,1063315072,PRJNA323589,SAMN05930519,Model organism or animal,Not applicable,560724644,"UNIVERSITY OF CALIFORNIA, DAVIS",23-Nov-2008,public,Not applicable,"bam,sra,fasta","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",adult,Flax Pond,SRX2313595,Illumina HiSeq 2500,F-25,40.9637 N 73.1342 W,F-25,PAIRED,RANDOM,GENOMIC,Fundulus heteroclitus,ILLUMINA,2018-05-20T00:00:00Z,F-25,female,SRP092392,Not applicable,caudal fin
SRR4781446,Not applicable,WGS,assembly,202,660855120,PRJNA323589,SAMN05930518,Model organism or animal,Not applicable,443968035,"UNIVERSITY OF CALIFORNIA, DAVIS",23-Nov-2008,public,Not applicable,"bam,sra,fasta","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",adult,Flax Pond,SRX2313596,Illumina HiSeq 2500,F-24,40.9637 N 73.1342 W,F-24,PAIRED,RANDOM,GENOMIC,Fundulus heteroclitus,ILLUMINA,2018-05-20T00:00:00Z,F-24,male,SRP092392,Not applicable,caudal fin
SRR4781448,Not applicable,WGS,assembly,202,99159174,PRJNA323589,SAMN05930517,Model organism or animal,Not applicable,274318565,"UNIVERSITY OF CALIFORNIA, DAVIS",23-Nov-2008,public,Not applicable,"sra,bam,fasta","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",adult,Flax Pond,SRX2313597,Illumina HiSeq 2500,F-23,40.9637 N 73.1342 W,F-23,PAIRED,RANDOM,GENOMIC,Fundulus heteroclitus,ILLUMINA,2018-05-20T00:00:00Z,F-23,male,SRP092392,Not applicable,caudal fin
SRR4781454,Not applicable,WGS,assembly,202,1157781584,PRJNA323589,SAMN05930516,Model organism or animal,Not applicable,591451943,"UNIVERSITY OF CALIFORNIA, DAVIS",23-Nov-2008,public,Not applicable,"fasta,sra,bam","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",adult,Flax Pond,SRX2313598,Illumina HiSeq 2500,F-22,40.9637 N 73.1342 W,F-22,PAIRED,RANDOM,GENOMIC,Fundulus heteroclitus,ILLUMINA,2018-05-20T00:00:00Z,F-22,female,SRP092392,Not applicable,caudal fin
SRR4781457,Not applicable,WGS,assembly,202,815596008,PRJNA323589,SAMN05930419,Model organism or animal,Not applicable,497150071,"UNIVERSITY OF CALIFORNIA, DAVIS",17-Dec-2008,public,Not applicable,"fasta,bam,sra","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",adult,Bridgeport,SRX2313599,Illumina HiSeq 2500,BP-24,41.1570 N 73.2189 W,BP-24,PAIRED,RANDOM,GENOMIC,Fundulus heteroclitus,ILLUMINA,2018-05-20T00:00:00Z,BP-24,female,SRP092392,Not applicable,caudal fin
SRR4781460,Not applicable,WGS,assembly,202,1343028310,PRJNA323589,SAMN05930420,Model organism or animal,Not applicable,650037920,"UNIVERSITY OF CALIFORNIA, DAVIS",17-Dec-2008,public,Not applicable,"bam,fasta,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",adult,Bridgeport,SRX2313600,Illumina HiSeq 2500,BP-25,41.1570 N 73.2189 W,BP-25,PAIRED,RANDOM,GENOMIC,Fundulus heteroclitus,ILLUMINA,2018-05-20T00:00:00Z,BP-25,female,SRP092392,Not applicable,caudal fin
SRR4781462,Not applicable,WGS,assembly,202,1283388618,PRJNA323589,SAMN05930417,Model organism or animal,Not applicable,631062702,"UNIVERSITY OF CALIFORNIA, DAVIS",17-Dec-2008,public,Not applicable,"bam,fasta,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",adult,Bridgeport,SRX2313601,Illumina HiSeq 2500,BP-22,41.1570 N 73.2189 W,BP-22,PAIRED,RANDOM,GENOMIC,Fundulus heteroclitus,ILLUMINA,2018-05-20T00:00:00Z,BP-22,female,SRP092392,Not applicable,caudal fin
SRR4781466,Not applicable,WGS,assembly,202,820554300,PRJNA323589,SAMN05930418,Model organism or animal,Not applicable,492056348,"UNIVERSITY OF CALIFORNIA, DAVIS",17-Dec-2008,public,Not applicable,"bam,sra,fasta","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",adult,Bridgeport,SRX2313602,Illumina HiSeq 2500,BP-23,41.1570 N 73.2189 W,BP-23,PAIRED,RANDOM,GENOMIC,Fundulus heteroclitus,ILLUMINA,2018-05-20T00:00:00Z,BP-23,female,SRP092392,Not applicable,caudal fin
SRR4781469,Not applicable,WGS,assembly,202,731058200,PRJNA323589,SAMN05930415,Model organism or animal,Not applicable,473452880,"UNIVERSITY OF CALIFORNIA, DAVIS",17-Dec-2008,public,Not applicable,"bam,sra,fasta","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",adult,Bridgeport,SRX2313603,Illumina HiSeq 2500,BP-20,41.1570 N 73.2189 W,BP-20,PAIRED,RANDOM,GENOMIC,Fundulus heteroclitus,ILLUMINA,2018-05-20T00:00:00Z,BP-20,male,SRP092392,Not applicable,caudal fin
SRR4781472,Not applicable,WGS,assembly,202,1196085026,PRJNA323589,SAMN05930416,Model organism or animal,Not applicable,600381882,"UNIVERSITY OF CALIFORNIA, DAVIS",17-Dec-2008,public,Not applicable,"bam,sra,fasta","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",adult,Bridgeport,SRX2313604,Illumina HiSeq 2500,BP-21,41.1570 N 73.2189 W,BP-21,PAIRED,RANDOM,GENOMIC,Fundulus heteroclitus,ILLUMINA,2018-05-20T00:00:00Z,BP-21,male,SRP092392,Not applicable,caudal fin
SRR4781475,Not applicable,WGS,assembly,202,103506012,PRJNA323589,SAMN05930413,Model organism or animal,Not applicable,276073081,"UNIVERSITY OF CALIFORNIA, DAVIS",17-Dec-2008,public,Not applicable,"fasta,bam,sra","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",adult,Bridgeport,SRX2313605,Illumina HiSeq 2500,BP-19,41.1570 N 73.2189 W,BP-19,PAIRED,RANDOM,GENOMIC,Fundulus heteroclitus,ILLUMINA,2018-05-20T00:00:00Z,BP-19,female,SRP092392,Not applicable,caudal fin
